Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0	 1	 0	 5	 0	 0	 0	 
0.001	 0.999807	 0	 4.9956	 0	 0	 0	 
0.002	 0.999145	 0	 4.98253	 0	 0	 0	 
0.003	 0.997766	 0	 4.96099	 0	 0	 0	 
0.004	 0.995261	 0	 4.9312	 0	 0	 0	 
0.005	 0.991075	 0	 4.89342	 0	 0	 0	 
0.006	 0.984527	 0	 4.84797	 0	 0	 0	 
0.007	 0.974824	 -2.15223e-21	 4.79526	 0	 0	 0	 
0.008	 0.961097	 6.64583e-20	 4.73584	 0	 0	 0	 
0.009	 0.942422	 -5.37276e-23	 4.67038	 0	 0	 0	 
0.01	 0.917867	 -8.42429e-20	 4.5997	 0	 0	 0	 
0.011	 0.886533	 3.42837e-19	 4.52483	 0	 0	 0	 
0.012	 0.847603	 1.25924e-18	 4.44693	 0	 0	 0	 
0.013	 0.80039	 1.94232e-18	 4.36737	 0	 0	 0	 
0.014	 0.744387	 2.66086e-18	 4.28765	 0	 0	 0	 
0.015	 0.679317	 3.7859e-18	 4.20938	 0	 0	 0	 
0.016	 0.605162	 5.41217e-18	 4.13424	 0	 0	 0	 
0.017	 0.522205	 6.91819e-18	 4.06395	 0	 0	 0	 
0.018	 0.431042	 8.81064e-18	 4.00017	 0	 0	 0	 
0.019	 0.332602	 1.08902e-17	 3.94445	 0	 0	 0	 
0.02	 0.228141	 1.32497e-17	 3.89816	 0	 0	 0	 
0.021	 0.119222	 1.56653e-17	 3.86238	 0	 0	 0	 
0.022	 0.00768032	 1.8205e-17	 3.83789	 0	 0	 0	 
0.023	 -0.104452	 2.06845e-17	 3.82501	 0	 0	 0	 
0.024	 -0.215038	 2.30289e-17	 3.8236	 0	 0	 0	 
0.025	 -0.321971	 2.51565e-17	 3.83303	 0	 0	 0	 
0.026	 -0.423307	 2.71041e-17	 3.85218	 0	 0	 0	 
0.027	 -0.517402	 2.855e-17	 3.8795	 0	 0	 0	 
0.028	 -0.603015	 3.01954e-17	 3.91318	 0	 0	 0	 
0.029	 -0.679363	 3.13792e-17	 3.9512	 0	 0	 0	 
0.03	 -0.746128	 3.24352e-17	 3.99157	 0	 0	 0	 
0.031	 -0.803414	 3.34964e-17	 4.03235	 0	 0	 0	 
0.032	 -0.851672	 3.41242e-17	 4.07183	 0	 0	 0	 
0.033	 -0.891607	 3.50812e-17	 4.10852	 0	 0	 0	 
0.034	 -0.924087	 3.5907e-17	 4.14124	 0	 0	 0	 
0.035	 -0.950054	 3.60869e-17	 4.16904	 0	 0	 0	 
0.036	 -0.970456	 3.59619e-17	 4.19123	 0	 0	 0	 
0.037	 -0.986187	 3.59669e-17	 4.20735	 0	 0	 0	 
0.038	 -0.998053	 3.58024e-17	 4.21711	 0	 0	 0	 
0.039	 -1.00674	 3.58775e-17	 4.22034	 0	 0	 0	 
0.04	 -1.01282	 3.57668e-17	 4.217	 0	 0	 0	 
0.041	 -1.0167	 3.53537e-17	 4.20714	 0	 0	 0	 
0.042	 -1.01867	 3.49119e-17	 4.19086	 0	 0	 0	 
0.043	 -1.01889	 3.43995e-17	 4.1683	 0	 0	 0	 
0.044	 -1.01738	 3.36618e-17	 4.13966	 0	 0	 0	 
0.045	 -1.01404	 3.26792e-17	 4.10518	 0	 0	 0	 
0.046	 -1.00867	 3.14365e-17	 4.06513	 0	 0	 0	 
0.047	 -1.00099	 3.03145e-17	 4.01982	 0	 0	 0	 
0.048	 -0.990604	 2.90234e-17	 3.96965	 0	 0	 0	 
0.049	 -0.977087	 2.76632e-17	 3.91503	 0	 0	 0	 
0.05	 -0.959952	 2.6285e-17	 3.85649	 0	 0	 0	 
0.051	 -0.938694	 2.5491e-17	 3.79462	 0	 0	 0	 
0.052	 -0.912809	 2.49464e-17	 3.73009	 0	 0	 0	 
0.053	 -0.881819	 2.41257e-17	 3.66366	 0	 0	 0	 
0.054	 -0.845295	 2.33799e-17	 3.59619	 0	 0	 0	 
0.055	 -0.802885	 2.26366e-17	 3.52859	 0	 0	 0	 
